SQLファイル名(.sqlを除く),x,y,対象期間項目名,規格適用開始期間(含む),規格適用終了期間(含む),品名(指定しない場合は'-'),規格Min,アラームMin,アラームMax,規格Max,hue(色分けを行わない場合は-),グラフタイトル,グラフタイトル,Y軸のLog表記を行うのであれば、TRUE,CHECK
PIX-DML_SiN_Step,PIX2_STARTTIME,PIX2.Step_Ave,PIX2_STARTTIME,1/1/2010,1/1/2100,-,,,,115,-,PIX形成 PIXホトエッチ PIX2 - SiN段差(DML),PIX形成 PIXホトエッチ PIX2 - SiN段差(DML),,OK
PIX-DML_SiN_Step,PIX3_STARTTIME,PIX3.Step_Ave,PIX3_STARTTIME,1/1/2010,1/1/2100,-,,,,115,-,PIX形成 PIXホトエッチ PIX3 - SiN段差(DML),PIX形成 PIXホトエッチ PIX3 - SiN段差(DML),,OK
PIX-DML_SiN_Step,PIXPre_STARTTIME,PIXPre.Step_Ave,PIXPre_STARTTIME,1/1/2010,1/1/2100,-,,,200,250,-,PIX形成 PIXホトエッチ P電極蒸着前PIX段差  SiN段差(DML),PIX形成 PIXホトエッチ P電極蒸着前PIX段差  SiN段差(DML),,OK
TH-DML_MESA-Side_Step,STARTTIME,Step.Step_Ave,STARTTIME,1/1/2010,1/1/2100,-,125,150,775,800,-,TH形成 メサ脇段差平均,TH形成 メサ脇段差平均,,OK
TH-DML_SiO2_EtchingRate,STARTTIME,Rate.Rate_Ave,STARTTIME,1/1/2010,1/1/2100,-,34,35,39,40,EQUIPMENT,TH形成 エッチングレート,TH形成 エッチングレート,,OK
MESA_CVD_EtchingRate_DML,STARTTIME,Rate.Rate_Ave,STARTTIME,1/1/2010,1/1/2100,-,25,28,42,45,DryEtch,メサ形成 SiO2ドライエッチングレート(DML),メサ形成 SiO2ドライエッチングレート(DML),,OK
MESA_CVD_EtchingRate_DML,STARTTIME,Time.Time,STARTTIME,1/1/2010,1/1/2100,-,3.5,,,6,DryEtch,メサ形成 SiO2ドライエッチング時間(DML),メサ形成 SiO2ドライエッチング時間(DML),,OK
MESA_CAP_Depth,STARTTIME,Depth.Depth_Final,STARTTIME,1/1/2010,1/1/2100,-,500,550,850,900,PARTNUMBER,メサ形成 キャップ層ドライエッチング エッチ量,メサ形成 キャップ層ドライエッチング エッチ量,,OK
MESA_Wet_Depth,STARTTIME,Depth.Depth_Ave,STARTTIME,1/1/2010,1/1/2100,-,1700,1750,1950,2000,EQUIPMENT,メサ形成 メサエッチング 段差測定,メサ形成 メサエッチング 段差測定,,OK
PIX_SiN_Step,PIX1_STARTTIME,PIX1.Step_Ave,PIX1_STARTTIME,1/1/2010,1/1/2100,-,,,,115,-,PIX形成 PIXホトエッチ PIX1 - SiN段差(EML),PIX形成 PIXホトエッチ PIX1 - SiN段差(EML),,OK
